古代字典给汉字分类采取据形系联的方法，也就是把具有共同形旁的字归为一部，置于这部分字的首位，所以称为部首。	gǔdàizìdiǎngěihànzìfēnlèicǎiqǔjùxíngxìliándefāngfǎ，yějìushìbǎjùyǒugòngtóngxíngpángdezìgūiwèiyībù，zhìyúzhèbùfēnzìdeshǒuwèi，suǒyǐchēngwèibùshǒu。	Ancient Chinese character classification dictionary to take shape, according to the Department of joint approach, that is, the word has a common shape beside classified as one, placed first in this part of the word, so called radical.
比如：打、找、扛、撕等字，具有共同的形旁扌，扌就是这些字的部首。	bǐrú：dǎ、zhǎo、káng、sīděngzì，jùyǒugòngtóngdexíngpáng扌，扌jìushìzhèxiēzìdebùshǒu。	For example: playing the find carry tear and other words, have a common shape next to Rolling Rolling is the word radical.
不难看出这四个字都表示动作，而这些动作都是要用手来完成的，所以它们的部首（形旁）就是扌（提手旁）。	bùnánkànchūzhèsìgèzìdūbiǎoshìdòngzuò，érzhèxiēdòngzuòdūshìyàoyòngshǒuláiwánchéngde，suǒyǐtāmendebùshǒu（xíngpáng）jìushì扌（tíshǒupáng）。	The words are not difficult to see that action, and these actions are done by hand, so their radical (beside shape) is Rolling (next to the handle).
常见的部首还有：三点水(氵)、女字旁(女)、四点底(灬)等，通过这些部首你可以在字典上查到你不知道读音但知道其写法的字。	chángjiàndebùshǒuhuányǒu：sāndiǎnshǔi(氵)、nv̌zìpáng(nv̌)、sìdiǎndǐ(biāo)děng，tōngguòzhèxiēbùshǒunǐkěyǐzàizìdiǎnshàngchádàonǐbùzhīdàodúyīndànzhīdàoqíxiěfǎdezì。	Common radicals are: Drops (Rui), next to the female characters (female), four-point bottom (Xiangxi), etc., these radicals can be found in the dictionary you do not know the pronunciation but you know it written word.
打这个字从字形上来看就是用手钉钉子的动作，所以它的本意是指击、敲。	dǎzhègèzìcóngzìxíngshàngláikànjìushìyòngshǒudīngdīngzǐdedòngzuò，suǒyǐtādeběnyìshìzhǐjí、qiāo。	Playing word nail the action from the point of view is shaped by hand, so it is intended to refer strike, knock. 
除了本意，比较常用的意思还有除去，如打消；另有舀取的意思，比如打水，这里还可以引申为买的意思，比如，打酒或这里的打酱油就是买酒和买酱油的意思；它的第二个发音dá，是由英语单词dozen音译而来的，十二个为一打，比如，一打鸡蛋、一打啤酒等。	chúleběnyì，bǐjiàochángyòngdeyìsīhuányǒuchúqù，rúdǎxiāo；lìngyǒuyǎoqǔdeyìsī，bǐrúdǎshǔi，zhèlǐhuánkěyǐyǐnshēnwèimǎideyìsī，bǐrú，dǎjǐuhuòzhèlǐdedǎjiàngyóujìushìmǎijǐuhémǎijiàngyóudeyìsī；tādedìèrgèfāyīndá，shìyóuyīngyǔdāncídozenyīnyìérláide，shíèrgèwèiyīdǎ，bǐrú，yīdǎjīdàn、yīdǎpíjǐuděng。	In addition to intent, meaning there are more commonly used to remove, such as to dispel; another scoop, meaning, such as fetching water, where you can also buy the idea was mean, for example, porter here or soy sauce  buy, buy wine and soy sauce is the meaning; its second pronunciation dá , by English words dozen transliteration from, and twelve is a dozen, for example, a dozen eggs , a dozen beer and so on.
打酱油的酱油 是中国烹饪不可或缺的一种咸味液体调味料，它是由大豆，食盐，小麦酿造而成。	dǎjiàngyóudejiàngyóu shìzhōngguópēngrènbùkěhuòquēdeyīzhǒngxiánwèiyètǐdiàowèiliào，tāshìyóudàdòu，shíyán，xiǎomàiniàngzàoérchéng。	Soy sauce sauce is essential Chinese cooking a savory seasoning liquid, which is brewed from soybeans, salt, wheat together.
红褐色，有独特酱香，味道鲜美，有助于促进食欲。	hónghésè，yǒudútèjiàngxiāng，wèidàoxiānměi，yǒuzhùyúcùjìnshíyù。	Reddish-brown, with a unique sauce, taste delicious and help promote appetite.
酱油是由酱演变而来，早在三千多年前，中国周朝就有制作酱的记载了。	jiàngyóushìyóujiàngyǎnbiànérlái，zǎozàisānqiānduōniánqián，zhōngguózhōuzhāojìuyǒuzhìzuòjiàngdejìzàile。	Soy sauce is a sauce evolved as early as 3000 years ago, Chinese Zhou Dynasty have made sauce documented.
后来随着佛教僧侣传播，遍及世界各地。	hòuláisúizháofójiàosēnglv̌chuánbō，biànjíshìjiègèdì。	Later, with Buddhist monks spread around the world.
由此可见 打酱油的字面意思就是买酱油。	yóucǐkějiàn dǎjiàngyóudezìmiànyìsījìushìmǎijiàngyóu。	This shows that soy sauce literally means to buy soy sauce.
以前你如果想买酱油都得自己拿着瓶子到商店，你要多少，人家就给你称多少，所以叫打酱油。	yǐqiánnǐrúguǒxiǎngmǎijiàngyóudūdézìjǐnázháopíngzǐdàoshāngdiàn，nǐyàoduōshǎo，rénjiājìugěinǐchēngduōshǎo，suǒyǐjiàodǎjiàngyóu。	Previously, if you wanted to buy a bottle of soy sauce I had to hold myself to the store, how much you want, how much you give people that so called soy sauce. 
后来，人们形容孩子长大了，经常会说某某家的孩子都能打酱油了。	hòulái，rénmenxíngróngháizǐchángdàle，jīngchánghùishuōmǒumǒujiādeháizǐdūnéngdǎjiàngyóule。	Later, it was described as children grow up, often will say so and so's children can play soy sauce.
很明显，这个词的字面意思与我们开头所说的电影扯不上关系。	hěnmíngxiǎn，zhègècídezìmiànyìsīyǔwǒmenkāitóusuǒshuōdediànyǐngchěbùshàngguānxì。	Obviously, the literal meaning of the word and we said at the beginning of the movie has nothing to do.
下面就让我们来说一说除了它的本意之外还有什么意思。	xiàmiànjìuràngwǒmenláishuōyīshuōchúletādeběnyìzhīwàihuányǒushíyāoyìsī。	Here let us talk about in addition to its original idea what is the point.
二.网络流行语打酱油的意思。	èr.wǎngluòlíuxíngyǔdǎjiàngyóudeyìsī。	II. Network buzzwords soy sauce means.
现在买酱油大家都直接去超市买，基本上没有拿瓶子去打酱油的生意了。	xiànzàimǎijiàngyóudàjiādūzhíjiēqùchāoshìmǎi，jīběnshàngméiyǒunápíngzǐqùdǎjiàngyóudeshēngyìle。	Now I buy soy sauce directly go to the supermarket to buy, basically did not take a bottle of soy sauce to play business.
所以现在我们所说的打酱油明显已不再是这个词的本意了，而是说明：某事与自己关系不大，不重要，只是来凑数的。	suǒyǐxiànzàiwǒmensuǒshuōdedǎjiàngyóumíngxiǎnyǐbùzàishìzhègècídeběnyìle，érshìshuōmíng：mǒushìyǔzìjǐguānxìbùdà，bùzhòngyào，zhǐshìláicòushùde。	So now we are talking about soy sauce is no longer the obvious intention of the word, but rather explain: something with their little to do, is not important, just to make up the numbers.
或是某事与自己没关系，自己也不关心它。	huòshìmǒushìyǔzìjǐméiguānxì，zìjǐyěbùguānxīntā。	Or something with yourself it does not matter, he is not concerned about it.
比如，节目一开始所说的他陪朋友去参加电影试镜，本来是去打酱油的，没想到最终却被导演看上，当上男一号了！	bǐrú，jiémùyīkāishǐsuǒshuōdetāpéipéngyǒuqùcānjiādiànyǐngshìjìng，běnláishìqùdǎjiàngyóude，méixiǎngdàozùizhōngquèbèidǎoyǎnkànshàng，dāngshàngnányīhàole！	For example, the program starts, said he accompanied a friend to go to a movie audition, was supposed to play soy sauce, he did not expect the director finally being spotted, when the male lead it!
，就是说他原本只是陪朋友去，只是凑数的，没想到最后反而成了男一号。	，jìushìshuōtāyuánběnzhǐshìpéipéngyǒuqù，zhǐshìcòushùde，méixiǎngdàozùihòufǎnérchénglenányīhào。	, That he had only to accompany a friend to go, just make up the numbers, I did not expect the final has become a male lead.
三.打酱油的出处。	sān.dǎjiàngyóudechūchù。	III. Soy sauce, the source.
打酱油本意的出处是来自于贾平凹的文章《笑口常开》，文章中的夫妻二人带着孩子住在只有不足十平米的房间内，眼看丈夫就要出差一个月了，夫妻俩想有点私人空间于是就打发孩子出门去打酱油。	dǎjiàngyóuběnyìdechūchùshìláizìyújiǎpíngāodewénzhāng《xiàokǒuchángkāi》，wénzhāngzhōngdefūqīèrréndàizháoháizǐzhùzàizhǐyǒubùzúshípíngmǐdefángjiānnèi，yǎnkànzhàngfūjìuyàochūchàyīgèyuèle，fūqīliǎxiǎngyǒudiǎnsīrénkōngjiānyúshìjìudǎfāháizǐchūménqùdǎjiàngyóu。	Soy sauce intention of provenance from Jia Ping - wa article, smiling , the couple live with their children in the articles in the room that less than 10 square meters, seeing her husband would travel a month, the couple wanted a little private space so he sent the children out to play sauce.
我们现在所用的打酱油出自于 2017 年发生在香港娱乐圈的一个轰动事件。	wǒmenxiànzàisuǒyòngdedǎjiàngyóuchūzìyú 2017 niánfāshēngzàixiānggǎngyúlèquāndeyīgèhōngdòngshìjiàn。	We now use soy sauce comes from a sensational event occurred in 2017 in Hong Kong entertainment.
当时一位男艺人送修笔记本电脑结果被公布出许多他与娱乐圈其他女艺人的私密照片。	dāngshíyīwèinányìrénsòngxīubǐjìběndiànnǎojiéguǒbèigōngbùchūxǔduōtāyǔyúlèquānqítānv̌yìréndesīmìzhàopiàn。	At that time a male artist repair laptops results were published out of many of his private photos and other entertainment female artist.
当时有一个记者采访一位路人关于他对此事的看法，路人漠不关心地回答关我什么事? 我是出来买酱油的。	dāngshíyǒuyīgèjìzhěcǎifǎngyīwèilùrénguānyútādùicǐshìdekànfǎ，lùrénmòbùguānxīndìhúidáguānwǒshíyāoshì? wǒshìchūláimǎijiàngyóude。	At that time, a reporter interviewed a passerby about his views on the matter, indifferent passers-by to answer questions about what I do? I was out to buy soy sauce.
后来这位酱油男一夜爆红，我是来打酱油的也被大家纷纷转用。	hòuláizhèwèijiàngyóunányīyèbàohóng，wǒshìláidǎjiàngyóudeyěbèidàjiāfēnfēnzhuǎnyòng。	Later, the soy sauce man Red explosion the night, I have come to soy sauce it has also been diverted.
这里路人所说的打（买）酱油明显是表明这个事与他无关，他也不关心，自己只是路过此地而已。	zhèlǐlùrénsuǒshuōdedǎ（mǎi）jiàngyóumíngxiǎnshìbiǎomíngzhègèshìyǔtāwúguān，tāyěbùguānxīn，zìjǐzhǐshìlùguòcǐdìéryǐ。	Here dozen passers-mentioned (buy) soy sauce clearly indicates that this has nothing to do with him, he does not care, he was just passing through here only.
四.通过故事来帮你记忆。	sì.tōngguògùshìláibāngnǐjìyì。	IV. Memory to help you through the story.
下面我们来通过一则小故事，来帮你更好地理解打酱油的用法。	xiàmiànwǒmenláitōngguòyīzéxiǎogùshì，láibāngnǐgènghǎodìlǐjiědǎjiàngyóudeyòngfǎ。	Here we come through a little story to help you better understand the soy sauce usage.
小明和小红是两兄妹，两人都刚上初中。	xiǎomínghéxiǎohóngshìliǎngxiōngmèi，liǎngréndūgāngshàngchūzhōng。	Xiao Ming and red are two siblings, both just in junior high school.
小明很喜欢运动，比如篮球、足球、跆拳道等。	xiǎomínghěnxǐhuānyùndòng，bǐrúlánqíu、zúqíu、táiquándàoděng。	Xiao Ming is very fond of sports, such as basketball, soccer and taekwondo.
而小红则比较安静，喜欢画画、看书等。	érxiǎohóngzébǐjiàoānjìng，xǐhuānhuàhuà、kànshūděng。	The red is relatively quiet, like painting, reading and so on.
小红想学钢琴，于是这周末爸爸妈妈就带她去了少年宫1准备给她报钢琴班。	xiǎohóngxiǎngxuégāngqín，yúshìzhèzhōumòbàbàmāmājìudàitāqùleshǎoniángōng1zhǔnbèigěitābàogāngqínbān。	Alice wanted to learn the piano, so this weekend Mom and Dad took her to the Children's Palace 1 reported ready to give her piano class.
由于放心不下小明一人在家，爸妈也带着他一起出门了。	yóuyúfàngxīnbùxiàxiǎomíngyīrénzàijiā，bàmāyědàizháotāyīqǐchūménle。	Because Xiao Ming worried about a person at home, but also with his parents go out together.
结果到了少年宫，给小红报完名后，爸妈问小明：你也想学个乐器吗？	jiéguǒdàoleshǎoniángōng，gěixiǎohóngbàowánmínghòu，bàmāwènxiǎomíng：nǐyěxiǎngxuégèlèqìma？	Results to the Children's Palace, to little red after completion report name, my parents asked Xiao Ming: Do you want to learn a musical instrument?
